"codeinsee";"libdpt";"libsubcom";"popsubcom";"nompsn";"prepsn";"civpsn";"naissance";"csp";"libcsp"
"01379";"AIN";"Saint-Maurice-de-Rémens";714;"GAILLARD";"Eric";"M";1974-03-26;47;"Fonctionnaires de catégorie A"
"01380";"AIN";"Saint-Nizier-le-Bouchoux";694;"GUYON";"Valérie";"F";1960-04-17;57;"Sans profession déclarée"
"01381";"AIN";"Saint-Nizier-le-Désert";884;"BERNILLON";"Françoise";"F";1940-12-19;44;"Professions rattachées à enseignt."
"01382";"AIN";"Sainte-Olive";299;"PAUCHARD";"Thierry";"M";1962-02-21;39;"Autres professions libérales"
"01383";"AIN";"Saint-Paul-de-Varax";1526;"BERNIGAUD";"Roland";"M";1951-04-17;61;"Retraités salariés privés"
"01384";"AIN";"Saint-Rambert-en-Bugey";2191;"BOUCHON";"Gilbert";"M";1951-02-25;13;"Ingénieurs"
"01385";"AIN";"Saint-Rémy";942;"DUSONCHET";"Martine";"F";1952-02-11;14;"Agents technique et techniciens"
"01386";"AIN";"Saint-Sorlin-en-Bugey";1055;"MILLET";"Patrick";"M";1959-07-31;19;"Autres cadres (secteur privé)"
"01387";"AIN";"Saint-Sulpice";155;"FOURNIER";"Clotilde";"F";1966-09-01;5;"Industriels-Chefs entreprise"
"01388";"AIN";"Saint-Trivier-de-Courtes";1047;"BRUNET";"Michel";"M";1946-07-26;61;"Retraités salariés privés"
"01389";"AIN";"Saint-Trivier-sur-Moignans";1847;"LANIER";"Marcel";"M";1952-04-11;47;"Fonctionnaires de catégorie A"
"01390";"AIN";"Saint-Vulbas";954;"JACQUIN";"Marcel";"M";1949-03-16;61;"Retraités salariés privés"
"01391";"AIN";"Salavre";287;"POUPON";"Gérard";"M";1947-05-16;59;"Retr.artis.commerc.chefs d'entrep."
"01392";"AIN";"Samognat";704;"ESCODA";"Annie";"F";1956-11-11;57;"Sans profession déclarée"
"01393";"AIN";"Sandrans";521;"OLLAGNIER";"Bernard";"M";1947-09-29;59;"Retr.artis.commerc.chefs d'entrep."
"01396";"AIN";"Sault-Brénaz";1040;"MONTEGRE";"Martial";"M";1958-12-27;48;"Fonctionnaires de catégorie B"
"01397";"AIN";"Sauverny";1083;"HENNIQUAU";"Isabelle";"F";1971-04-13;18;"Cadres supérieurs (secteur privé)"
"01398";"AIN";"Savigneux";1213;"VIGNARD";"Daniel";"M";1949-06-25;64;"Retraités des entreprises publiques"
"01399";"AIN";"Ségny";1706;"FOUILLOUX";"Jean-Pierre";"M";1949-08-13;65;"Autres retraités"
"01400";"AIN";"Seillonnaz";139;"BOREL";"Frédérique";"F";1958-08-30;57;"Sans profession déclarée"
